time(s)	accl(g)
14.880	-0.002831461920
14.881	-0.001154661600
14.882	0.000522138720
14.883	0.002198939040
14.884	0.003875739360
14.885	0.005552539680
14.886	0.007229340000
14.887	0.008611579200
14.888	0.009993818400
14.889	0.011376057600
14.890	0.012758296800
14.891	0.014140536000
14.892	0.015522775200
14.893	0.016518394800
14.894	0.017514014400
14.895	0.018509634000
14.896	0.019505253600
14.897	0.020500873200
14.898	0.021496492800
14.899	0.022100416800
14.900	0.022704340800
14.901	0.023308264800
14.902	0.023912188800
14.903	0.024516112800
14.904	0.025120036800
14.905	0.025403997600
14.906	0.025687958400
14.907	0.025971919200
14.908	0.026255880000
14.909	0.026539840800
14.910	0.026823801600
14.911	0.026905002000
14.912	0.026986202400
14.913	0.027067402800
14.914	0.027148603200
14.915	0.027229803600
14.916	0.027311004000
14.917	0.027326997600
14.918	0.027342991200
14.919	0.027358984800
14.920	0.027374978400
14.921	0.027390972000
14.922	0.027406965600
14.923	0.027493383600
14.924	0.027579801600
14.925	0.027666219600
14.926	0.027752637600
14.927	0.027839055600
14.928	0.027925473600
14.929	0.028189227600
14.930	0.028452981600
14.931	0.028716735600
14.932	0.028980489600
14.933	0.029244243600
14.934	0.029507997600
14.935	0.030022964400
14.936	0.030537931200
14.937	0.031052898000
14.938	0.031567864800
14.939	0.032082831600
14.940	0.032597798400
14.941	0.033371728800
14.942	0.034145659200
14.943	0.034919589600
14.944	0.035693520000
14.945	0.036467450400
14.946	0.037241380800
14.947	0.038185514400
14.948	0.039129648000
14.949	0.040073781600
14.950	0.041017915200
14.951	0.041962048800
14.952	0.042906182400
14.953	0.043875416400
14.954	0.044844650400
14.955	0.045813884400
14.956	0.046783118400
14.957	0.047752352400
14.958	0.048721586400
14.959	0.049579794000
14.960	0.050438001600
14.961	0.051296209200
14.962	0.052154416800
14.963	0.053012624400
14.964	0.053870832000
14.965	0.054537590400
14.966	0.055204348800
14.967	0.055871107200
14.968	0.056537865600
14.969	0.057204624000
14.970	0.057871382400
14.971	0.058336466400
14.972	0.058801550400
14.973	0.059266634400
14.974	0.059731718400
14.975	0.060196802400
14.976	0.060661886400
14.977	0.060954472800
14.978	0.061247059200
14.979	0.061539645600
14.980	0.061832232000
14.981	0.062124818400
14.982	0.062417404800
14.983	0.062497698000
14.984	0.062577991200
14.985	0.062658284400
