%	VERSION NUMBER:	1
%	FILE DATE:	Fri Jul 29 11:09:15 2022	
%	FILE NAME:	
%	
%	FILE TYPE:	TIME HISTORY
%	SAMPLE INTERVAL TYPE:	FIXED
%	SAMPLE INTERVAL UNIT TYPE:	Time
%	SAMPLE INTERVAL UNIT NAME:	sec
%	SAMPLE INTERVAL SIZE:	0.001
%       DISPLACEMENT UNIT:  mm


0.934	4.212813043
0.935	4.388821275
0.936	4.560658105
0.937	4.72826209
0.938	4.891573715
0.939	5.050535423
0.940	5.205091644
0.941	5.355188821
0.942	5.500775445
0.943	5.641802075
0.944	5.778221367
0.945	5.909988101
0.946	6.037059201
0.947	6.159393762
0.948	6.276953069
0.949	6.389700623
0.950	6.497602155
0.951	6.60062565
0.952	6.698741364
0.953	6.79192184
0.954	6.880141925
0.955	6.963378785
0.956	7.041611918
0.957	7.114823169
0.958	7.18299674
0.959	7.2461192
0.960	7.304179496
0.961	7.35716896
0.962	7.40508132
0.963	7.4479127
0.964	7.485661628
0.965	7.518329043
0.966	7.545918291
0.967	7.568435133
0.968	7.585887739
0.969	7.598286693
0.970	7.605644988
0.971	7.607978021
0.972	7.605303592
0.973	7.597641898
0.974	7.585015524
0.975	7.567449436
0.976	7.544970972
0.977	7.517609832
0.978	7.485398066
0.979	7.448370062
0.980	7.40656253
0.981	7.36001449
0.982	7.308767253
0.983	7.252864405
0.984	7.192351789
0.985	7.127277481
0.986	7.057691777
0.987	6.983647164
0.988	6.905198298
0.989	6.822401984
0.990	6.735317145
0.991	6.644004797
0.992	6.548528026
0.993	6.448951953
0.994	6.345343705
0.995	6.23777239
0.996	6.126309057
0.997	6.011026668
0.998	5.892000064
0.999	5.769305927
1.000	5.643022746
1.001	5.513230781
1.002	5.380012022
1.003	5.243450151
1.004	5.103630506
1.005	4.960640033
1.006	4.81456725
1.007	4.665502204
1.008	4.513536422
1.009	4.358762876
1.010	4.201275927
1.011	4.041171289
1.012	3.878545976
1.013	3.713498255
1.014	3.546127601
1.015	3.376534646
1.016	3.204821128
1.017	3.031089843
1.018	2.855444592
1.019	2.677990131
1.020	2.498832119
1.021	2.318077062
1.022	2.135832265
1.023	1.952205771
1.024	1.767306315
1.025	1.58124326
1.026	1.394126551
1.027	1.206066653
1.028	1.017174494
1.029	0.827561416
1.030	0.637339108
1.031	0.446619559
1.032	0.255514992
1.033	0.064137813
1.034	-0.127399453
1.035	-0.318984213
1.036	-0.510503872
1.037	-0.701845886
1.038	-0.892897819
1.039	-1.083547409
1.040	-1.27368262
1.041	-1.463191701
1.042	-1.65196325
1.043	-1.839886264
1.044	-2.026850205
1.045	-2.212745055
1.046	-2.397461375
